source_cid,place_key,name,reason
ENP037823,037823,[BTS X JAMES JEAN] SEVEN PHASES,invalid_event_end_date
ENP037866,037866,Seoul Illustration Fair,invalid_event_end_date
ENP037865,037865,Gwangtonggyo: The Capital's Primary Bridge,invalid_event_end_date
ENP037833,037833,"Gyeongchun Line, Membership Training Memories",invalid_event_end_date
ENP037824,037824,William Wegman: Being Human,invalid_event_end_date
ENP037794,037794,Secrets of Wooden Puppets - Czech Marionettes,invalid_event_end_date
ENP037795,037795,"Sand Island, Airfield, Building Forest in Yeouido",invalid_event_end_date
ENP037695,037695,Homo Sapiens: Evolution ∞ Relationships & Future,invalid_event_end_date
ENP037686,037686,Icons and Identities [from National Portrait Gallery],invalid_event_end_date
ENP037540,037540,Records of Hanyangdoseong Engraved on Stone,invalid_event_end_date
ENP037607,037607,Flowers by Naked,invalid_event_end_date
ENP037603,037603,"Max Dalton, Moments in Film",invalid_event_end_date
ENP037595,037595,Life Exhibition: The Last Print,invalid_event_end_date
ENP037379,037379,The Forties: Alluring Moments,invalid_event_end_date
ENP037376,037376,Andy Warhol: Beginning Seoul,invalid_event_end_date
ENP037377,037377,Layered Time Exhibition,invalid_event_end_date
ENP037375,037375,Day Travel,invalid_event_end_date
ENP037380,037380,Artist Prologue 2021,invalid_event_end_date
ENP037199,037199,A Climate Crisis Come,invalid_event_end_date
ENP037041,037041,Street Noise,invalid_event_end_date
ENP036958,036958,TeamLab: Life,invalid_event_end_date
ENP036938,036938,"Meak: Soul, Elements & Sound",invalid_event_end_date
ENP036917,036917,2021 CRE8TIVE REPORT,invalid_event_end_date
ENP036913,036913,"Hullo Hullo, Following on: Rose Wylie",invalid_event_end_date
ENP036881,036881,2021 Delight Seoul,invalid_event_end_date
ENP036854,036854,2021 Doosan Art Lab,invalid_event_end_date
ENP036826,036826,Yudam Solo Exhibition: What I Felt,invalid_event_end_date
ENP036811,036811,Ocragela: Sustainable Design,invalid_event_end_date
ENP036784,036784,Shooting the Pulitzer,invalid_event_end_date
ENP036600,036600,On Guard in Hanyang,invalid_event_end_date
ENP036050,036050,The Moment of Gi-eok,invalid_event_end_date
ENP036046,036046,The Abstract with Mr. Kandinsky,invalid_event_end_date
ENP035744,035744,OCI Museum of Art 10th Anniversary,invalid_event_end_date
ENP035451,035451,Day Travel,invalid_event_end_date
ENP034908,034908,Breath of Earth,invalid_event_end_date
ENP034906,034906,The Other Side of Landscape,invalid_event_end_date
ENP034905,034905,The Radio Our Family Listened To - 1978,invalid_event_end_date
ENP034783,034783,Between Dreamy and Dreary,invalid_event_end_date
ENP034781,034781,Rise Up Rim Dong Sik,invalid_event_end_date
ENP034780,034780,This Event,invalid_event_end_date
ENP034769,034769,A Distance from Where I Stand,invalid_event_end_date
ENP034768,034768,An Exhibition for Everyone: Things that Remain Unchanged,invalid_event_end_date
ENP034456,034456,Goods For You,invalid_event_end_date
ENP034313,034313,My Name is Green,invalid_event_end_date
ENP034311,034311,Monet to Cezanne,invalid_event_end_date
ENP034176,034176,Gentlemen's Hat Shop in the Joseon Dynasty,invalid_event_end_date
ENP81fkn2,81fkn2,Deoksugung Palace Seoul Royal Guard Changing Ceremony,invalid_event_end_date
ENPocnv9w,ocnv9w,2026 Yeowoorak Festival,invalid_event_end_date
ENPbdsd1n,bdsd1n,2026 Sungnyemun Gate Guard Ceremony,invalid_event_end_date
ENP4p11lw,4p11lw,Local Trip Gourmet Pop-UP,invalid_event_end_date
ENPhhpmd3,hhpmd3,2026 Namsan Summer Festival,invalid_event_end_date
ENPzqncck,zqncck,2026 Donhwamun Traditional Culture Festa,invalid_event_end_date
ENP9byb55,9byb55,GAME AiCON Seoul 2026,invalid_event_end_date
ENPif3oia,if3oia,2026 Seoul Tourism Food Festival (Picnic on the Bridge),invalid_event_end_date
ENP8s9qmk,8s9qmk,2026 N Seoul Tower Global Night Walk,invalid_event_end_date
ENPd5mmfg,d5mmfg,2026 Seoul Taekwondo Performance,invalid_event_end_date
ENPcrjas7,crjas7,Pokemon Secret Forest,invalid_event_end_date
ENPgldnt3,gldnt3,2026 The 18th Jungnang Seoul Rose Festival,invalid_event_end_date
ENPtliyds,tliyds,2026 Central Asia Spring Festival,invalid_event_end_date
ENPoj0mnj,oj0mnj,2026 Changdeokgung Moonlight Tour,invalid_event_end_date
ENP3odb31,3odb31,2026 The 3rd Garak Mall National Bakery Pride,invalid_event_end_date
ENPljv9ur,ljv9ur,Seoul Illustration Fair V.21,invalid_event_end_date
ENP21bumo,21bumo,Hangang Peulpeul Adventure,invalid_event_end_date
ENP47mbp7,47mbp7,2026 Seoul International Garden Show,invalid_event_end_date
ENPo2z8p6,o2z8p6,DDP Children's Design Festival : DDP Land,invalid_event_end_date
ENPvro3vg,vro3vg,2026 Seoul Outdoor Library,invalid_event_end_date
ENPw5jg9e,w5jg9e,2026 Namsangol Traditional Experience : Artist's Time,invalid_event_end_date
ENPdbivac,dbivac,The 3rd MY PACE Hangang Triathlon Festival,invalid_event_end_date
ENPziwyow,ziwyow,2026 Seoul World City Culture Festival,invalid_event_end_date
ENP24j3ps,24j3ps,2026 Lotus Lantern Festival (Yeondeunghoe),invalid_event_end_date
ENPuh1x78,uh1x78,Seoul Spring Festival 2026,invalid_event_end_date
ENPcfxsrm,cfxsrm,2026 MY PACE MORNING,invalid_event_end_date
ENPmrj46s,mrj46s,Seoul Light DDP 2025 Winter,invalid_event_end_date
ENPuf5jqb,uf5jqb,2025-2026 Seoul Plaza Ice Skating Rink,invalid_event_end_date
ENPjiue7j,jiue7j,K-BRAND GLOW FACTORY,invalid_event_end_date
ENPl2d30r,l2d30r,2025 Gangnam Media Winter Festa,invalid_event_end_date
ENP91xruo,91xruo,K-Pop Festival Night,invalid_event_end_date
ENPublb1r,ublb1r,K-Pop Demon Hunters Seoul Official Pop-up,invalid_event_end_date
ENP5p75y1,5p75y1,2025 BUKCHON HUNTERS TOUR,invalid_event_end_date
ENPel0vjp,el0vjp,Seoul Hiking Week 2025,invalid_event_end_date
ENP90yndo,90yndo,2025 SEOUL MUSIC FESTIVAL,invalid_event_end_date
ENPe517qj,e517qj,SEOUL TOUR MARBLE,invalid_event_end_date
ENPlyiwjs,lyiwjs,2025 Gwanghwamun Market,invalid_event_end_date
ENP5bs8hr,5bs8hr,2025 Seoul Lantern Festival,invalid_event_end_date
ENPi27lxi,i27lxi,2025 Korean Rhythm Festival <Jangdan Yuhee>,invalid_event_end_date
ENPju3txc,ju3txc,Ddong-Kkang-Aji Mejoo Pop-up Store <Mejoo’s Front Yard Farm>,invalid_event_end_date
